Water_SYSTEM.PWSID,Water_SYSTEM.PWS_NAME,Water_SYSTEM.NPM_CANDIDATE,Water_SYSTEM.PRIMACY_AGENCY_CODE,Water_SYSTEM.EPA_REGION,Water_SYSTEM.SEASON_BEGIN_DATE,Water_SYSTEM.SEASON_END_DATE,Water_SYSTEM.PWS_ACTIVITY_CODE,Water_SYSTEM.PWS_DEACTIVATION_DATE,Water_SYSTEM.PWS_TYPE_CODE,Water_SYSTEM.DBPR_SCHEDULE_CAT_CODE,Water_SYSTEM.CDS_ID,Water_SYSTEM.GW_SW_CODE,Water_SYSTEM.LT2_SCHEDULE_CAT_CODE,Water_SYSTEM.OWNER_TYPE_CODE,Water_SYSTEM.POPULATION_SERVED_COUNT,Water_SYSTEM.POP_CAT_2_CODE,Water_SYSTEM.POP_CAT_3_CODE,Water_SYSTEM.POP_CAT_4_CODE,Water_SYSTEM.POP_CAT_5_CODE,Water_SYSTEM.POP_CAT_11_CODE,Water_SYSTEM.PRIMACY_TYPE,Water_SYSTEM.PRIMARY_SOURCE_CODE,Water_SYSTEM.IS_GRANT_ELIGIBLE_IND,Water_SYSTEM.IS_WHOLESALER_IND,Water_SYSTEM.IS_SCHOOL_OR_DAYCARE_IND,Water_SYSTEM.SERVICE_CONNECTIONS_COUNT,Water_SYSTEM.SUBMISSION_STATUS_CODE,Water_SYSTEM.ORG_NAME,Water_SYSTEM.ADMIN_NAME,Water_SYSTEM.EMAIL_ADDR,Water_SYSTEM.PHONE_NUMBER,Water_SYSTEM.PHONE_EXT_NUMBER,Water_SYSTEM.FAX_NUMBER,Water_SYSTEM.ALT_PHONE_NUMBER,Water_SYSTEM.ADDRESS_LINE1,Water_SYSTEM.ADDRESS_LINE2,Water_SYSTEM.CITY_NAME,Water_SYSTEM.ZIP_CODE,Water_SYSTEM.COUNTRY_CODE,Water_SYSTEM.STATE_CODE,Water_SYSTEM.SOURCE_WATER_PROTECTION_CODE,Water_SYSTEM.SOURCE_PROTECTION_BEGIN_DATE,Water_SYSTEM.OUTSTANDING_PERFORMER,Water_SYSTEM.OUTSTANDING_PERFORM_BEGIN_DATE,Water_SYSTEM.CITIES_SERVED,Water_SYSTEM.COUNTIES_SERVED,X48
PR0003533,CAIN ALTO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,3326,1,2,1,3,5,Territory,SW,Y,N,N,1063,Y,CAIN ALTO,CAIN ALTO,NA,787-620-2277,NA,NA,NA,CARR. 361 KM.1.7,NA,SAN GERMAN,00683,US,PR,N,NA,NA,NA,SAN GERMAN,"Salinas Municipio,San German Municipio",NA
PR0458254,ESSILOR INDUSTRIES,Y,PR,02,01-01,12-31,A,NA,NTNCWS,NA,NA,GW,NA,P,250,1,1,1,1,2,Territory,GW,Y,N,N,1,Y,ESSILOR INDUSTRIES,ESSILOR INDUSTRIES,NA,787-848-30,NA,NA,NA,BO. SOBANETAS,ZONA INDUSTRIAL,PONCE,00715,US,PR,N,NA,NA,NA,PONCE,Ponce Municipio,NA
PR0005306,FAJARDO CEIBA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,50837,2,3,3,4,7,Territory,SW,Y,N,N,17554,Y,FAJARDO CEIBA,FAJARDO CEIBA,NA,787-620-2277,NA,NA,NA,CARR. 976 KM. 6.8,NA,FAJARDO,00738,US,PR,N,NA,NA,NA,"FAJARDO,FAJARDO CEIBA",Fajardo Municipio,NA
PR0004925,FARALLON,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,0,1,1,1,1,1,Territory,SW,Y,N,N,12444,Y,FARALLON,FARALLON,NA,787-738-6141,NA,NA,NA,CARR.742 INT. BO.FARALLON,SECTOR CAMACHO,CAYEY,00736,US,PR,N,NA,NA,NA,CAYEY,Cayey Municipio,NA
PR0455054,FCA. GERALDO PAGAN,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,680,1,1,1,2,3,Territory,GW,Y,N,N,170,Y,FCA. GERALDO PAGAN,FCA. GERALDO PAGAN,NA,787-867-5771,NA,NA,NA,CARR. 143 RAMAL 590,KM. 4.1 BO. BAUTA ABAJO,OROCOVIS,00720,US,PR,N,NA,NA,NA,OROCOVIS,Orocovis Municipio,NA
PR0754077,FEIJO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,460,1,1,1,1,2,Territory,GW,Y,N,N,115,Y,FEIJO,FEIJO,NA,787-869-5389,NA,NA,NA,CARR. 152 RAMAL 809,"CEDRO ARRIBA, SECTOR FEIJO",NARANJITO,00719,US,PR,N,NA,NA,NA,NARANJITO,Naranjito Municipio,NA
PR0272282,FINCA CARBONELL,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,240,1,1,1,1,2,Territory,GW,Y,N,N,60,Y,FINCA CARBONELL,FINCA CARBONELL,NA,787-   -,NA,NA,NA,CARR. 140  KM. 34,DON ALONSO ARRIBA,UTUADO,00641,US,PR,N,NA,NA,NA,UTUADO,Utuado Municipio,NA
PR0115031,FINCA LOS GARCIA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,84,1,1,1,1,1,Territory,SW,Y,N,N,21,Y,FINCA LOS GARCIA,FINCA LOS GARCIA,NA,787-886-2243,NA,NA,NA,SEC. HOYO BO. PALMASOLA,CARR. 957 KM. 3.4,CANOVANAS,00729,US,PR,N,NA,NA,NA,CANOVANAS,Canovanas Municipio,NA
PR0272032,FINCA WILLIAM LUGO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,60,1,1,1,1,1,Territory,GW,Y,N,N,11,Y,FINCA WILLIAM LUGO,FINCA WILLIAM LUGO,NA,787-894-3811,NA,NA,NA,CARR. 523 KM. 4.4,BO. ARENAS,UTUADO,00641,US,PR,N,NA,NA,NA,UTUADO,Utuado Municipio,NA
PR0002732,FLORIDA URBANO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,L,15056,2,2,2,4,6,Territory,GW,Y,N,N,3521,Y,FLORIDA URBANO,FLORIDA URBANO,NA,787-620-2277,NA,NA,NA,CARR. 155 KM. 55.1,NA,FLORIDA,00650,US,PR,N,NA,NA,NA,FLORIDA,Florida Municipio,NA
PR0661056,FOREST SERVICE-EL YUNQUE,Y,PR,02,01-01,12-31,A,NA,NTNCWS,NA,NA,GW,NA,P,55,1,1,1,1,1,Territory,GW,Y,N,N,225,Y,FOREST SERVICE-EL YUNQUE,FOREST SERVICE-EL YUNQUE,NA,787-888-1880,NA,NA,NA,BO. PALMER,NA,RIO GRANDE,00745,US,PR,N,NA,NA,NA,RIO GRANDE,Rio Grande Municipio,NA
PR0439024,FORT ALLEN,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,1000,1,1,1,2,3,Territory,GW,Y,N,N,625,Y,FORT ALLEN,FORT ALLEN,NA,787-724-3321,NA,NA,NA,CARR. # 149 CERCA INT. # 1,NA,JUANA DIAZ,00795,US,PR,N,NA,NA,NA,JUANA DIAZ,Juana Diaz Municipio,NA
PR0003012,FRONTON,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,3347,1,2,1,3,5,Territory,SW,Y,N,N,1302,Y,FRONTON,FRONTON,NA,787-620-2277,NA,NA,NA,CARR. 146 KM. 15.8 INT.,NA,CIALES,00638,US,PR,N,NA,NA,NA,CIALES,Ciales Municipio,NA
PR0002782,GARROCHALES,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,L,5754,1,2,1,3,5,Territory,GW,Y,N,N,3596,Y,GARROCHALES,GARROCHALES,NA,787-620-2277,NA,NA,NA,CARR. 682 KM. 6.9,NA,ARECIBO,00612,US,PR,N,NA,NA,NA,"ARECIBO,GARROCHALES",Arecibo Municipio,NA
PR0004584,GARZAS,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,2782,1,1,1,2,4,Territory,SW,Y,N,N,1144,Y,GARZAS,GARZAS,NA,787-620-2277,NA,NA,NA,CARR. 10 KM. 29.3,NA,ADJUNTAS,00601,US,PR,N,NA,NA,NA,ADJUNTAS,Adjuntas Municipio,NA
PR0521105,CIBA VISION DE PR,Y,PR,02,01-01,12-31,A,NA,NTNCWS,NA,NA,GW,NA,P,188,1,1,1,1,2,Territory,GW,Y,N,N,1,Y,WESLEY-JESSEN PR,WESLEY-JESSEN PR,NA,NA,NA,NA,NA,PO BOX 1980,NA,CIDRA,00739,US,PR,N,NA,NA,NA,CIDRA,Cidra Municipio,NA
PR0401234,GARZAS JUNCOS,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,460,1,1,1,1,2,Territory,GW,Y,N,N,115,Y,GARZAS JUNCOS,GARZAS JUNCOS,NA,787-829-6306,NA,NA,NA,CARR.518 (AL LADO DE ESCUELAS),KM. 8.7 BO. GARZAS JUNCOS,ADJUNTAS,00601,US,PR,N,NA,NA,NA,ADJUNTAS,Adjuntas Municipio,NA
PR0004074,GUANICA URBANO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,L,12864,2,2,2,4,6,Territory,GW,Y,N,N,5522,Y,GUANICA URBANO,GUANICA URBANO,NA,787-620-2277,NA,NA,NA,CARR. 116 116 KM.29.1,NA,GUANICA,00653,US,PR,N,NA,NA,NA,GUANICA,Guanica Municipio,NA
PR0439034,GUARAGUAO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,450,1,1,1,1,2,Territory,SW,Y,N,N,113,Y,GUARAGUAO,GUARAGUAO,NA,787-620-2277,NA,NA,NA,CARR. 10 KM.16.8,NA,PONCE,00731,US,PR,N,NA,NA,NA,JUANA DIAZ,Juana Diaz Municipio,NA
PR0478064,GUARAGUAO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,420,1,1,1,1,2,Territory,SW,Y,N,N,238,Y,GUARAGUAO,GUARAGUAO,NA,787-620-2277,NA,NA,NA,CARR. 10 KM.16.8,NA,PONCE,00731,US,PR,N,NA,NA,NA,YAUCO,Yauco Municipio,NA
PR0004114,GUARAGUAO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,1680,1,1,1,2,4,Territory,SW,Y,N,N,371,Y,GUARAGUAO,GUARAGUAO,NA,787-620-2277,NA,NA,NA,CARR. 10 KM.16.8,NA,PONCE,00731,US,PR,N,NA,NA,NA,PONCE,Ponce Municipio,NA
PR0005186,GUAYABOTA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,1852,1,1,1,2,4,Territory,SW,Y,N,N,521,Y,GUAYABOTA,GUAYABOTA,NA,787-620-2277,NA,NA,NA,CARR. 3 R-90 KM. 9.9,NA,YABUCOA,00767,US,PR,N,NA,NA,NA,"GUAYABOTA,YABUCOA",Yabucoa Municipio,NA
PR0004745,GUAYAMA URBANO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,45959,2,2,2,4,6,Territory,SW,Y,N,N,14584,Y,GUAYAMA URBANO,GUAYAMA URBANO,NA,787-620-2277,NA,NA,NA,MIRASOL ANGELI STREETS,NA,GUAYAMA,00784,US,PR,N,NA,NA,NA,"ARROYO,GUAYAMA","Arroyo Municipio,Guayama Municipio",NA
PR0004054,GUAYANILLA URBANO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,L,9597,1,2,1,3,5,Territory,GW,Y,N,N,3757,Y,GUAYANILLA URBANO,GUAYANILLA URBANO,NA,787-620-2277,NA,NA,NA,CARR. 2 R335,NA,GUAYANILLA,00656,US,PR,N,NA,NA,NA,"GUAYANILLA,PONCE","Guayanilla Municipio,Ponce Municipio",NA
PR0003303,SAN SEBASTIAN,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,34615,2,2,2,4,6,Territory,SW,Y,N,N,12297,Y,SAN SEBASTIAN,SAN SEBASTIAN,NA,787-620-2277,NA,NA,NA,CARR. 449 TO THE END,NA,SAN SEBASTIAN,00685,US,PR,N,NA,NA,NA,SAN SEBASTIAN,San Sebastian Municipio,NA
PR0003022,SANAMUERTO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,2391,1,1,1,2,4,Territory,SW,Y,N,N,720,Y,SANAMUERTO,SANAMUERTO,NA,787-620-2277,NA,NA,NA,CARR. 567 KM. 1.2 INT.,NA,MOROVIS,00720,US,PR,N,NA,NA,NA,"MOROVIS,OROCOVIS","Morovis Municipio,Orocovis Municipio",NA
PR0238072,SANTA BARBARA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,500,1,1,1,1,2,Territory,SW,Y,N,N,125,Y,SANTA BARBARA,SANTA BARBARA,NA,787-828-0057,NA,NA,NA,CARR. 144 R 141 MUNICIPAL,BO.SANTA BARBARA,JAYUYA,00664,US,PR,N,NA,NA,NA,JAYUYA,Jayuya Municipio,NA
PR0238122,SANTA BARBARA II,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,424,1,1,1,1,2,Territory,SW,Y,N,N,106,Y,SANTA BARBARA II,SANTA BARBARA II,NA,787-   -,NA,NA,NA,HOSPITAL VIEJO,SECTOR SAN FELIPE,JAYUYA,00664,US,PR,N,NA,NA,NA,JAYUYA,Jayuya Municipio,NA
PR0613436,MOVA PHARMACEUTICAL COP.,Y,PR,02,01-01,12-31,A,NA,NTNCWS,NA,NA,GW,NA,P,900,1,1,1,2,3,Territory,GW,Y,N,N,225,Y,MOVA PHARMACEUTICAL COP.,MOVA PHARMACEUTICAL COP.,NA,787-746-8500,NA,NA,NA,CARR # 1 KM. 34.3,VILLA BLANCA INDUSTRIAL PARK,CAGUAS,00726,US,PR,N,NA,NA,NA,CAGUAS,Hatillo Municipio,NA
PR0556015,MULAS,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,652,1,1,1,2,3,Territory,SW,Y,N,N,225,Y,MULAS,MULAS,NA,787-839-4896,NA,NA,NA,BO. MULAS CARR. 754 FINAL,NA,PATILLAS,00723,US,PR,N,NA,NA,NA,PATILLAS,Patillas Municipio,NA
PR0510165,COM. DO%A MAYO (EL LLANO II),Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,253,1,1,1,1,2,Territory,GW,Y,N,N,78,Y,COM. DO%A MAYO (EL LLANO II),COM. DO%A MAYO (EL LLANO II),NA,787-857-1907,NA,NA,NA,BO. QUEBRADA GRANDE,CARR. 749 KM. 2.5 INT.,BARRANQUITAS,00794,US,PR,N,NA,NA,NA,BARRANQUITAS,Barranquitas Municipio,NA
PR0724117,COM. ELADIO ANDREU,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,500,1,1,1,1,2,Territory,SW,Y,N,N,80,Y,COM. ELADIO ANDREU,COM. ELADIO ANDREU,NA,787-859-5904,NA,NA,NA,CARR. 802 KM. 3.0,BO. MANA,COROZAL,00783,US,PR,N,NA,NA,NA,COROZAL,Corozal Municipio,NA
PR0242122,COM. LAS CUARENTA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,212,1,1,1,1,2,Territory,GW,Y,N,N,53,Y,COM. LAS CUARENTA,COM. LAS CUARENTA,NA,787-897-8226,NA,NA,NA,BO.MIRASOL FCA. JUAN MARRERO,CARR. 128 RAMAL 432 KM. 1.2,LARES,00669,US,PR,N,NA,NA,NA,LARES,Lares Municipio,NA
PR0653026,COM. RANCHO GRANDE,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,1555,1,1,1,2,4,Territory,SW,Y,N,N,500,Y,COM. RANCHO GRANDE,COM. RANCHO GRANDE,NA,787-874-3040,NA,NA,NA,CARR. 969 BO. MAIZALES,NA,NAGUABO,00718,US,PR,N,NA,NA,NA,NAGUABO,Naguabo Municipio,NA
PR0364043,COM. RIO PIEDRAS,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,220,1,1,1,1,2,Territory,SW,Y,N,N,55,Y,COM. RIO PIEDRAS,COM. RIO PIEDRAS,NA,787-264-4844,NA,NA,NA,P.R. 361 KM. 4.8,BO. CAIN ALTO,SAN GERMAN,00683,US,PR,N,NA,NA,NA,SAN GERMAN,San German Municipio,NA
PR0604036,COM. RIVERA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,500,1,1,1,1,2,Territory,GW,Y,N,N,110,Y,COM. RIVERA,COM. RIVERA,NA,787-732-1109,NA,NA,NA,CARR.156 KM.45 HECT. 2 INTER.,BO. MULAS SECT. LA RAMBLA,AGUAS BUENAS,00703,US,PR,N,NA,NA,NA,AGUAS BUENAS,Aguas Buenas Municipio,NA
PR0455114,COM. SABANA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,720,1,1,1,2,3,Territory,GW,Y,N,N,180,Y,COM. SABANA,COM. SABANA,NA,787-867-0407,NA,NA,NA,"CARR. 569, KM. 3.9 INT.",BO. SABANA,OROCOVIS,00720,US,PR,N,NA,NA,NA,OROCOVIS,Orocovis Municipio,NA
PR0455294,COM. SALTOS CABRA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,500,1,1,1,1,2,Territory,GW,Y,N,N,125,Y,COM. SALTOS CABRA,COM. SALTOS CABRA,NA,787-867-4652,NA,NA,NA,CARR. 566 KM. 1.8,BO. SALTOS,OROCOVIS,00720,US,PR,N,NA,NA,NA,OROCOVIS,Orocovis Municipio,NA
PR0004705,COMERIO URBANO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,L,10101,2,2,2,4,6,Territory,SW,Y,N,N,2748,Y,COMERIO URBANO,COMERIO URBANO,NA,787-620-2277,NA,NA,NA,CARR. 775 KM. 1.1,NA,COMERIO,00782,US,PR,N,NA,NA,NA,COMERIO,Comerio Municipio,NA
PR0272142,COMUNIDAD CHORRERAS,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,240,1,1,1,1,2,Territory,SW,Y,N,N,60,Y,COMUNIDAD CHORRERAS,COMUNIDAD CHORRERAS,NA,787-894-8709,NA,NA,NA,VIRGILIO TORRES BO.LIMON,CARR. 10 KM. 46.3,UTUADO,00641,US,PR,N,NA,NA,NA,UTUADO,Utuado Municipio,NA
PR0724127,COMUNIDAD DIVISORIA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,43,1,1,1,1,1,Territory,GW,Y,N,N,12,Y,COMUNIDAD DIVISORIA,COMUNIDAD DIVISORIA,NA,787-859-6395,NA,NA,NA,CARR. 771 KM. 9.9,BO. MANA,COROZAL,00783,US,PR,N,NA,NA,NA,COROZAL,Corozal Municipio,NA
PR0476334,COMUNIDAD EL FRIO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,100,1,1,1,1,1,Territory,SW,Y,N,N,25,Y,COMUNIDAD EL FRIO,COMUNIDAD EL FRIO,NA,787-867-6753,NA,NA,NA,CARR. 143 KM. 30.5,SECTOR EL FRIO,OROCOVIS,00720,US,PR,N,NA,NA,NA,OROCOVIS,Orocovis Municipio,NA
PR0306053,COMUNIDAD HATILLO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,300,1,1,1,1,2,Territory,GW,Y,N,N,75,Y,COMUNIDAD HATILLO,COMUNIDAD HATILLO,NA,787-826-4383,NA,NA,NA,P.R. 4401 KM. 1.0,FINAL,ANASCO,00610,US,PR,N,NA,NA,NA,ANASCO,Anasco Municipio,NA
PR0523055,COMUNIDAD MAISONET,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,745,1,1,1,2,3,Territory,GW,Y,N,N,250,Y,COMUNIDAD MAISONET,COMUNIDAD MAISONET,NA,787-875-2432,NA,NA,NA,CARR. 780 KM. 5.4,BO. DO%A ELENA SECT. MAISONET,COMERIO,00782,US,PR,N,NA,NA,NA,COMERIO,Comerio Municipio,NA
PR0364063,COMUNIDAD MENDEZ,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,SW,NA,P,60,1,1,1,1,1,Territory,SW,Y,N,N,15,Y,COMUNIDAD MENDEZ,COMUNIDAD MENDEZ,NA,787-892-8023,NA,NA,NA,CARR.119 KM.7.6 SEC.MENDEZ,BO.ROSARIO ALTO,SAN GERMAN,00683,US,PR,N,NA,NA,NA,SAN GERMAN,San German Municipio,NA
PR0556135,MULAS SECTOR SOFIA,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,53,1,1,1,1,1,Territory,GW,Y,N,N,13,Y,MULAS SECTOR SOFIA,MULAS SECTOR SOFIA,NA,787-271-0821,NA,NA,NA,CARR. 184 INT. 754 KM 1.1,BO. MULAS SECTOR LA SOFIA,PATILLAS,00723,US,PR,N,NA,NA,NA,PATILLAS,Patillas Municipio,NA
PR0604046,MULITAS CENTRO,Y,PR,02,NA,NA,A,NA,CWS,NA,NA,GW,NA,P,670,1,1,1,2,3,Territory,GW,Y,N,N,210,Y,MULITAS CENTRO,MULITAS CENTRO,NA,787-732-6829,NA,NA,NA,CARR. 790 KM. 8.5 INT.,BO. MULITAS ARVELO,AGUAS BUENAS,00703,US,PR,N,NA,NA,NA,AGUAS BUENAS,Aguas Buenas Municipio,NA
